*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),*C:Sport,C:Player/Athlete,C:Season,C:Year Manufactured,C:Manufacturer,C:Signed By,C:Parallel/Variety,C:Features,C:Set,C:Team,C:League,C:Autographed,C:Card Name,C:Card Number,C:Type,C:Autograph Authentication,C:Grade,C:Card Size,C:Country of Origin,C:Graded,C:Professional Grader,C:Material,C:Autograph Format,C:Card Condition,C:Vintage,C:Event/Tournament,C:Language,C:Original/Licensed Reprint,C:Certification Number,C:Autograph Authentication Number,C:California Prop 65 Warning,C:Card Thickness,C:Customized,C:Insert Set,C:Print Run,C:Number of Cards,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails,ShippingProfileName,ReturnProfileName,PaymentProfileName,Product Safety Pictograms,Product Safety Statements,Product Safety Component,Regulatory Document Ids,Manufacturer Name,Manufacturer AddressLine1,Manufacturer AddressLine2,Manufacturer City,Manufacturer Country,Manufacturer PostalCode,Manufacturer StateOrProvince,Manufacturer Phone,Manufacturer Email,Manufacturer ContactURL,Responsible Person 1,Responsible Person 1 Type,Responsible Person 1 AddressLine1,Responsible Person 1 AddressLine2,Responsible Person 1 City,Responsible Person 1 Country,Responsible Person 1 PostalCode,Responsible Person 1 StateOrProvince,Responsible Person 1 Phone,Responsible Person 1 Email,Responsible Person 1 ContactURL
Add,ARI-0012,261328,,2023 Topps TREY McBRIDE #1,,,,,4000,,,,,Football,TREY McBRIDE,,2023,,,,,Topps,Arizona Cardinals,,No,TREY McBRIDE,1,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2023 Topps TREY McBRIDE #1. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,3,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0011,261328,,2024 Topps MARVIN HARRISON JR. #61,,,,,4000,,,,,Football,MARVIN HARRISON JR.,,2024,,,,,Topps,Arizona Cardinals,,No,MARVIN HARRISON JR.,61,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Topps MARVIN HARRISON JR. #61. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,2,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0010,261328,,2024 Donruss Optic TREY McBRIDE #74,,,,,4000,,,,,Football,TREY McBRIDE,,2024,,,,,Donruss Optic,Arizona Cardinals,,No,TREY McBRIDE,74,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic TREY McBRIDE #74. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0004,261328,,2024 Donruss Optic MARVIN HARRISON JR. #191,,,,,4000,,,,,Football,MARVIN HARRISON JR.,,2024,,,,,Donruss Optic,Arizona Cardinals,,No,MARVIN HARRISON JR.,191,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic MARVIN HARRISON JR. #191. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,2,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0005,261328,,2024 Donruss Optic Kyler Murray #166,,,,,4000,,,,,Football,Kyler Murray,,2024,,,,,Donruss Optic,Arizona Cardinals,,No,Kyler Murray,166,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Kyler Murray #166. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,2,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0007,261328,,2024 Donruss Optic Budda Baker #18,,,,,4000,,,,,Football,Budda Baker,,2024,,,,,Donruss Optic,Arizona Cardinals,,No,Budda Baker,18,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Budda Baker #18. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0006,261328,,2025 Donruss Optic Jake Plummer #189,,,,,4000,,,,,Football,Jake Plummer,,2025,,,,,Donruss Optic,Arizona Cardinals,,No,Jake Plummer,189,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2025 Donruss Optic Jake Plummer #189. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0002,261328,,2024 Panini Prizm MICHAEL WILSON #145,,,,,4000,,,,,Football,MICHAEL WILSON,,2024,,,,,Panini Prizm,Arizona Cardinals,,No,MICHAEL WILSON,145,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Panini Prizm MICHAEL WILSON #145. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0003,261328,,2024 Donruss Optic James Conner #111,,,,,4000,,,,,Football,James Conner,,2024,,,,,Donruss Optic,Arizona Cardinals,,No,James Conner,111,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic James Conner #111. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ARI-0001,261328,,2025 Select James Conner #123,,,,,4000,,,,,Football,James Conner,,2025,,,,,Select,Arizona Cardinals,,No,James Conner,123,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2025 Select James Conner #123. Team: Arizona Cardinals.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0014,261328,,2020 Topps DRAKE LONDON #62,,,,,4000,,,,,Football,DRAKE LONDON,,2020,,,,,Topps,Atlanta Falcons,,No,DRAKE LONDON,62,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2020 Topps DRAKE LONDON #62. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,4,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0017,261328,,2008 Topps BIJAN ROBINSON #4,,,,,4000,,,,,Football,BIJAN ROBINSON,,2008,,,,,Topps,Atlanta Falcons,,No,BIJAN ROBINSON,4,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2008 Topps BIJAN ROBINSON #4. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0019,261328,,2025 Topps JAMES PEARCE JR. #130,,,,,4000,,,,,Football,JAMES PEARCE JR.,,2025,,,,,Topps,Atlanta Falcons,,No,JAMES PEARCE JR.,130,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2025 Topps JAMES PEARCE JR. #130. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0015,261328,,2008 Topps Signature Class BIJAN ROBINSON #SNI80S,,,,,4000,,,,,Football,BIJAN ROBINSON,,2008,,,,,Topps Signature Class,Atlanta Falcons,,No,BIJAN ROBINSON,SNI80S,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2008 Topps Signature Class BIJAN ROBINSON #SNI80S. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0005,261328,,2024 Donruss Optic Darnell Mooney #65,,,,,4000,,,,,Football,Darnell Mooney,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,Darnell Mooney,65,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Darnell Mooney #65. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,3,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0011,261328,,1992 Donruss Optic DEION SANDERS #16,,,,,4000,,,,,Football,DEION SANDERS,,1992,,,,,Donruss Optic,Atlanta Falcons,,No,DEION SANDERS,16,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,1992 Donruss Optic DEION SANDERS #16. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0012,261328,,2024 Donruss Optic KYLE PITTS #90,,,,,4000,,,,,Football,KYLE PITTS,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,KYLE PITTS,90,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic KYLE PITTS #90. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0009,261328,,2024 Donruss Optic RATE ATT YDS TD #89,,,,,4000,,,,,Football,RATE ATT YDS TD,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,RATE ATT YDS TD,89,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic RATE ATT YDS TD #89. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0006,261328,,2024 Donruss Optic Bijan Robinson #118,,,,,4000,,,,,Football,Bijan Robinson,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,Bijan Robinson,118,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Bijan Robinson #118. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0007,261328,,2024 Donruss Optic Michael Penix Jr. #134,,,,,4000,,,,,Football,Michael Penix Jr.,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,Michael Penix Jr.,134,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Michael Penix Jr. #134. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0008,261328,,2024 Donruss Optic KIRK COUSINS #89,,,,,4000,,,,,Football,KIRK COUSINS,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,KIRK COUSINS,89,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic KIRK COUSINS #89. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0004,261328,,2024 Donruss Optic Drake London #153,,,,,4000,,,,,Football,Drake London,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,Drake London,153,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Drake London #153. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0002,261328,,1980 Donruss WILLIAM ANDREWS #247,,,,,4000,,,,,Football,WILLIAM ANDREWS,,1980,,,,,Donruss,Atlanta Falcons,,No,WILLIAM ANDREWS,247,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,1980 Donruss WILLIAM ANDREWS #247. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0003,261328,,2024 Donruss Optic Tyler Allgeier #33,,,,,4000,,,,,Football,Tyler Allgeier,,2024,,,,,Donruss Optic,Atlanta Falcons,,No,Tyler Allgeier,33,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss Optic Tyler Allgeier #33. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add,ATL-0001,261328,,2024 Donruss TYLER ALLGEIER #41,,,,,4000,,,,,Football,TYLER ALLGEIER,,2024,,,,,Donruss,Atlanta Falcons,,No,TYLER ALLGEIER,41,Sports Trading Card,,,,,,,,,,,,,,,,,,,,,,,,,2024 Donruss TYLER ALLGEIER #41. Team: Atlanta Falcons.,FixedPrice,GTC,0.99,,,,,1,,United States,Flat,USPS Ground Advantage,0.00,,,3,,,ReturnsAccepted,Days_30,MoneyBack,Buyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,